GP_PRACTICE_CODE,POSTCODE,CCG_CODE,NHSE_AREA_TEAM_CODE,NHSE_REGION_CODE,TOTAL_ALL,TOTAL_MALE,TOTAL_FEMALES,ORG_NAME
E84033,HA9 9FX,07P,Q71,Y56,4661,2316,2345,CHALKHILL FAMILY PRACTICE
E84036,NW2 6JH,07P,Q71,Y56,8947,4583,4364,GLADSTONE MEDICAL CENTRE
E84039,HA7 1JP,08E,Q71,Y56,8268,4052,4216,HONEYPOT MEDICAL CENTRE
E84040,HA1 4JS,08E,Q71,Y56,4365,2316,2049,THE PINNER ROAD SURGERY
E84042,NW6 5AY,07P,Q71,Y56,7593,3879,3714,KILBURN PARK MEDICAL CENTRE
E84044,HA1 2NU,08E,Q71,Y56,9890,4858,5032,THE NORTHWICK SURGERY
E84048,NW9 9SB,07P,Q71,Y56,9049,4660,4389,THE FRYENT WAY SURGERY
E84049,NW9 9BY,07P,Q71,Y56,1798,880,918,BRAMPTON HEALTH CENTRE
E84051,HA0 4JF,07P,Q71,Y56,5924,3208,2716,STANLEY CORNER MEDICAL CENTRE
E84053,HA5 4RD,08E,Q71,Y56,4420,2213,2207,HATCH END MEDICAL CENTRE
E84056,NW6 7TG,07P,Q71,Y56,1782,1116,666,THE CLARENCE MEDICAL CENTRE
E84057,HA7 1HS,08E,Q71,Y56,13369,7119,6250,THE STANMORE MEDICAL CENTRE
E84058,HA2 0RQ,08E,Q71,Y56,16564,8391,8173,GP DIRECT
E84059,UB6 0RA,07W,Q71,Y56,4054,2057,1997,THE ALLENDALE ROAD SURGERY
E84061,HA5 4EA,08E,Q71,Y56,11285,5392,5893,ELLIOTT HALL MEDICAL CTR.
E84062,HA2 0AH,08E,Q71,Y56,4384,2208,2176,THE SHAFTESBURY MEDICAL CENTRE
E84063,HA0 2AL,07P,Q71,Y56,5997,4016,1981,LANCELOT MEDICAL CENTRE
E84064,HA3 9HT,08E,Q71,Y56,3330,1668,1662,CHARLTON ROAD MEDICAL CENTRE
E84066,HA9 6PW,07P,Q71,Y56,3002,1659,1343,HAZELDENE MEDICAL CENTRE
E84067,NW9 8LU,07P,Q71,Y56,8071,4511,3560,CHURCH LANE SURGERY
E84068,HA2 7DU,08E,Q71,Y56,14220,6958,7262,THE RIDGEWAY SURGERY
E84069,HA3 7LT,08E,Q71,Y56,11123,5586,5537,BELMONT HEALTH CENTRE
E84070,HA1 4QG,08E,Q71,Y56,3923,1902,2021,PINNER VIEW MEDICAL CENTRE
E84074,NW10 4ST,07P,Q71,Y56,6119,3299,2820,FREUCHEN MEDICAL CENTRE
E84075,HA8 5QL,08E,Q71,Y56,5642,2931,2711,HARNESS HARROW PRACTICE
E84076,NW2 6EA,07P,Q71,Y56,6472,3144,3328,OXGATE GARDENS SURGERY
E84077,NW2 3AH,07P,Q71,Y56,2404,1328,1076,THE SHELDON PRACTICE
E84078,NW9 0EF,07P,Q71,Y56,3398,1736,1662,STAG LANE MEDICAL CENTRE
E84080,NW2 5HA,07P,Q71,Y56,7571,3660,3911,STAVERTON SURGERY
E84083,HA1 3QE,07P,Q71,Y56,6324,3279,3045,LANFRANC MEDICAL CENTRE
E84084,HA9 8EP,07P,Q71,Y56,4487,2264,2223,THE BEECHCROFT MEDICAL CENTRE
E84086,NW2 4RT,07P,Q71,Y56,7438,3601,3837,WALM LANE SURGERY
E84601,HA3 0YX,08E,Q71,Y56,6614,3255,3359,KENTON BRIDGE MEDICAL CENTRE DR GOLDEN
E84617,HA1 1SE,08E,Q71,Y56,4214,2284,1930,THE CIVIC MEDICAL CENTRE
E84620,HA9 8LB,07P,Q71,Y56,5664,2971,2693,PRESTON ROAD SURGERY
E84624,NW10 8TA,07P,Q71,Y56,2098,1082,1016,PARK ROAD SURGERY
E84626,HA0 4UZ,07P,Q71,Y56,2617,1348,1269,THE SUNFLOWER MEDICAL CENTRE
E84635,HA9 6QL,07P,Q71,Y56,4284,2345,1939,THE SURGERY
E84637,NW10 8RY,07P,Q71,Y56,2667,1402,1265,HILLTOP MEDICAL PRACTICE
E84638,HA0 4JB,07P,Q71,Y56,5709,3101,2608,ALPERTON MEDICAL CENTRE
E84645,NW10 8UT,07P,Q71,Y56,3450,1922,1528,ACTON LANE SURGERY
E84646,HA3 9BL,08E,Q71,Y56,6125,3317,2808,THE STREATFIELD MEDICAL CENTRE
E84647,HA3 0UQ,08E,Q71,Y56,2858,1486,1372,KENTON CLINIC
E84653,HA8 6BH,08E,Q71,Y56,2191,1124,1067,ZAIN MEDICAL CENTRE
E84656,NW10 3RY,07P,Q71,Y56,3459,1697,1762,ROUNDWOOD PARK MEDICAL CENTRE
E84657,HA7 4AU,08E,Q71,Y56,2216,1024,1192,THE STANMORE SURGERY
E84658,HA3 5LE,08E,Q71,Y56,5333,2619,2714,ASPRI MEDICAL CENTRE
E84661,HA3 0UN,07P,Q71,Y56,3153,1572,1581,PRIMARY CARE MEDICAL CENTRE
E84663,HA3 0YX,08E,Q71,Y56,5883,2848,3035,KENTON BRIDGE MEDICAL CENTRE DR LEVY
E84665,NW2 7SA,07P,Q71,Y56,7522,4019,3503,NEASDEN MEDICAL CENTRE
E84667,W9 3EG,07P,Q71,Y56,2231,1080,1151,BLESSING MEDICAL CENTRE
E84669,HA0 4SH,07P,Q71,Y56,2385,1226,1159,THE EAGLE EYE
E84670,HA2 9LG,08E,Q71,Y56,3536,1879,1657,WASU MEDICAL CENTRE
E84674,NW2 3AN,07P,Q71,Y56,6101,3458,2643,CHICHELE ROAD SURGERY
E84676,HA2 6LY,08E,Q71,Y56,3777,1980,1797,HEADSTONE LANE MEDICAL CENTRE
E84678,HA9 8JZ,07P,Q71,Y56,3554,1941,1613,PRESTON MEDICAL CENTRE
E84680,HA1 1PG,08E,Q71,Y56,3990,2007,1983,HEADSTONE ROAD SURGERY
E84681,HA1 1RQ,08E,Q71,Y56,2722,1450,1272,SAVITA MEDICAL CENTRE
E84684,HA9 9DS,07P,Q71,Y56,2810,1419,1391,THE TUDOR HOUSE MEDICAL CENTRE
E84685,HA0 3HG,07P,Q71,Y56,8042,4031,4011,INTERGRATED HEALTH CIC
E84690,NW2 7NA,07P,Q71,Y56,4248,2207,2041,CREST MEDICAL CENTRE
E84693,HA1 4BS,08E,Q71,Y56,7389,3560,3829,ST. PETER'S MEDICAL CENTRE
E84696,NW6 5RE,07P,Q71,Y56,1698,927,771,PEEL PRECINCT SURGERY
E84699,NW9 0QP,07P,Q71,Y56,4426,2362,2064,KINGS EDGE MEDICAL CENTRE
E84701,HA0 4UZ,07P,Q71,Y56,3810,1874,1936,PEARL MEDICAL PRACTICE
E84702,NW2 3UY,07P,Q71,Y56,2849,1579,1270,WILLESDEN GREEN SURGERY
E84704,NW2 6JH,07P,Q71,Y56,2300,1072,1228,ST.GEORGES MEDICAL CENTRE
E84705,NW10 3JP,07P,Q71,Y56,2466,1274,1192,CHAMBERLAYNE RD SURGERY
E84706,NW9 8JD,07P,Q71,Y56,2189,1161,1028,FRYENT MEDICAL CENTRE
E84708,NW10 0DJ,07P,Q71,Y56,2143,1160,983,THE VILLAGE MEDICAL CENTRE
E84709,HA9 8HD,07P,Q71,Y56,10110,5234,4876,WEMBLEY PARK DRIVE MEDICAL CENTRE
E84713,HA3 7LT,08E,Q71,Y56,3685,1913,1772,THE ENTERPRISE PRACTICE
E85001,TW7 4HQ,07Y,Q71,Y56,6841,3303,3538,THORNBURY ROAD CENTRE FOR HEALTH
E85003,W14 9PR,08C,Q71,Y56,17661,8588,9073,NORTH END MEDICAL CENTRE
E85004,TW8 8DS,07Y,Q71,Y56,6545,3143,3402,ALBANY PRACTICE
E85005,W12 0PT,08C,Q71,Y56,3505,1763,1742,"THE SURGERY, DR DASGUPTA & PARTNERS"
E85006,UB2 4XQ,07W,Q71,Y56,4521,2332,2189,WATERSIDE MEDICAL CENTRE
E85007,TW1 1NE,07Y,Q71,Y56,9511,4640,4871,ST.MARGARETS PRACTICE
E85008,SW6 1TN,08C,Q71,Y56,7600,3743,3857,"THE SURGERY, 82 LILLIE ROAD"
E85012,UB1 3HY,07W,Q71,Y56,4694,2440,2254,KS MEDICAL CENTRE
E85013,W7 1DR,07W,Q71,Y56,3355,1588,1767,HANWELL HEALTH CENTRE (STEWART)
E85014,W13 9QP,07W,Q71,Y56,9102,4602,4500,NORTHFIELDS SURGERY
E85015,TW3 3ET,07Y,Q71,Y56,3839,1887,1952,HOUNSLOW MEDICAL CENTRE
E85016,W6 7HY,08C,Q71,Y56,10266,5024,5242,RICHFORD GATE MEDICAL CENTRE
E85018,TW5 9ER,07Y,Q71,Y56,2057,1093,964,DR SOOD'S PRACTICE
E85019,W3 8SA,07W,Q71,Y56,9178,4481,4697,CROWN STREET SURGERY
E85020,W6 7EG,08C,Q71,Y56,12596,6074,6522,BROOK GREEN MEDICAL CENTRE
E85021,UB5 6LD,07W,Q71,Y56,7084,3485,3599,YEADING MEDICAL CENTRE
E85023,UB1 2RL,07W,Q71,Y56,2101,1077,1024,CHEPSTOW GARDENS MEDICAL CENTRE
E85024,TW14 0AX,07Y,Q71,Y56,5317,2679,2638,CARLTON SURGERY
E85025,SW6 5PX,08C,Q71,Y56,4903,2311,2592,CASSIDY ROAD MEDICAL CENTRE
E85026,W13 9NZ,07W,Q71,Y56,11956,5873,6083,GORDON HOUSE SURGERY
E85028,W3 9RA,07W,Q71,Y56,7698,4085,3613,HILLCREST SURGERY
E85029,SW6 6BQ,08C,Q71,Y56,14341,7115,7226,"THE MEDICAL CENTRE, DR JEFFERIES & PARTN"
E85030,W4 1RX,07Y,Q71,Y56,6895,3371,3524,CHISWICK HEALTH PRACTICE
E85032,W12 9BP,08C,Q71,Y56,5355,2700,2655,ASHCHURCH SURGERY
E85033,W6 9DU,08C,Q71,Y56,9383,4560,4823,HAMMERSMITH SURGERY
E85034,W13 9BE,07W,Q71,Y56,5910,3084,2826,GROSVENOR HOUSE SURGERY
E85035,TW13 6AJ,07Y,Q71,Y56,4377,2288,2089,MOUNT MEDICAL CENTRE
E85038,SW6 6JD,08C,Q71,Y56,4709,2240,2469,"THE SURGERY, DR MANGWANA & PARTNERS"
E85040,W4 1RX,07Y,Q71,Y56,9895,4713,5182,WEST4 GPS
E85041,W7 1DR,07W,Q71,Y56,6127,3149,2978,HANWELL HEALTH CENTRE (NAISH)
E85042,W12 9RD,08C,Q71,Y56,5297,2715,2582,THE NEW SURGERY
E85044,TW3 3DB,07Y,Q71,Y56,2116,1185,931,THE 303 BATH ROAD SURGERY
E85045,TW13 6HD,07Y,Q71,Y56,3708,1901,1807,TWICKENHAM PARK MEDICAL CENTRE
E85046,UB6 9RB,07W,Q71,Y56,6223,3020,3203,EASTMEAD AVENUE SURGERY
E85048,W12 7FG,08C,Q71,Y56,3616,1774,1842,PARKVIEW PRACTICE
E85049,UB2 5DU,07W,Q71,Y56,5594,3204,2390,BELMONT MEDICAL CLINIC
E85050,UB6 8QH,07W,Q71,Y56,7864,3998,3866,GREENFORD ROAD MED.CTR.
E85051,W7 3AH,07W,Q71,Y56,4657,2360,2297,GREENFORD AVENUE FHP
E85052,TW5 9RG,07Y,Q71,Y56,4839,2560,2279,CRANFORD MEDICAL CENTRE
E85053,UB5 4AT,07W,Q71,Y56,4114,1973,2141,THE MEDICAL CENTRE
E85054,UB6 7HQ,07W,Q71,Y56,10118,5226,4892,HILLVIEW SURGERY
E85055,W12 8PP,08C,Q71,Y56,11974,6031,5943,THE BUSH DOCTORS
E85056,TW13 4GU,07Y,Q71,Y56,7487,3645,3842,ST DAVIDS PRACTICE
E85057,W5 1TP,07W,Q71,Y56,9752,4652,5100,QUEENS WALK PRACTICE
E85058,TW3 3LN,07Y,Q71,Y56,7789,3915,3874,BLUE WING FAMILY DOCTOR UNIT
E85059,TW3 3LN,07Y,Q71,Y56,8404,4496,3908,CHESTNUT PRACTICE
E85060,TW3 2DY,07Y,Q71,Y56,5911,2963,2948,KINGFISHER PRACTICE
E85061,UB2 4EY,07W,Q71,Y56,3067,1612,1455,WELCOME PRACTICE
E85062,TW3 1NL,07Y,Q71,Y56,9481,5311,4170,FIRSTCARE PRACTICE
E85064,UB5 6QN,07W,Q71,Y56,4255,2123,2132,WEST END SURGERY
E85066,W4 5LH,07W,Q71,Y56,3690,1819,1871,THE BEDFORD PARK SURGERY
E85069,UB6 8RA,07W,Q71,Y56,3968,1964,2004,OLDFIELD FAMILY PRACTICE
E85071,TW13 5AD,07Y,Q71,Y56,1835,915,920,CLIFFORD HOUSE MEDICAL CENTRE
E85074,W6 7BL,08C,Q71,Y56,4110,2112,1998,BROOK GREEN SURGERY
E85075,W4 1BB,07W,Q71,Y56,3912,1952,1960,SOUTHFIELD MEDICAL CENTRE (WEBER)
E85077,W12 7LS,08C,Q71,Y56,3276,1884,1392,SHEPHERDS BUSH MEDICAL CENTRE
E85083,UB1 2TJ,07W,Q71,Y56,4478,2373,2105,DR SIVANESAN & PARTNER
E85088,W7 3DD,07W,Q71,Y56,3018,1510,1508,ELMBANK SURGERY
E85090,UB2 4EH,07W,Q71,Y56,5325,3062,2263,HAMMOND ROAD SURGERY
E85091,W5 1AQ,07W,Q71,Y56,1716,985,731,BRUNSWICK ROAD MED.CTR.
E85096,UB1 1BW,07W,Q71,Y56,8419,4909,3510,MEDICAL CENTRE
E85098,UB5 5DZ,07W,Q71,Y56,3589,1783,1806,ISLIP MANOR MEDICAL CENTRE
E85099,W13 8LA,07W,Q71,Y56,2891,1426,1465,THE AVENUE SURGERY
E85103,UB1 2PH,07W,Q71,Y56,3201,1703,1498,LADY MARGARET ROAD MEDICAL CENTRE
E85105,UB5 6WL,07W,Q71,Y56,2152,1103,1049,ALLENBY CLINIC
E85107,W3 8QH,07W,Q71,Y56,7244,3335,3909,THE MILL HILL SURGERY
E85108,UB5 5HB,07W,Q71,Y56,5327,2689,2638,MANDEVILLE MEDICAL CENTRE
E85109,W3 8QE,07W,Q71,Y56,3290,1694,1596,THE ACTON HEALTH CENTRE
E85110,SW6 2FE,08C,Q71,Y56,2882,1412,1470,"THE SURGERY, DR DAS & PARTNERS"
E85111,UB6 8HX,07W,Q71,Y56,3195,1607,1588,PERIVALE MEDICAL CLINIC
E85112,UB6 0PA,07W,Q71,Y56,4995,2579,2416,ELMTREES SURGERY
E85113,TW3 2DY,07Y,Q71,Y56,6157,3100,3057,REDWOOD PRACTICE
E85114,UB2 5QY,07Y,Q71,Y56,7265,3594,3671,CROSSLANDS SURGERY
E85115,TW14 9EF,07Y,Q71,Y56,2663,1303,1360,PENTELOW PRACTICE
E85116,W7 1DR,07W,Q71,Y56,4507,2132,2375,THE CUCKOO LANE PRACTICE
E85117,TW1 1EU,07Y,Q71,Y56,3298,1667,1631,COLE PARK SURGERY
E85118,SW6 1BG,08C,Q71,Y56,6917,3295,3622,THE FULHAM MEDICAL CENTRE
E85119,UB1 1LA,07W,Q71,Y56,6469,3459,3010,THE MWH PRACTICE
E85120,W13 8ER,07W,Q71,Y56,8306,4036,4270,THE ARGYLE SURGERY
E85121,UB1 1EE,07W,Q71,Y56,11353,6675,4678,GURU NANAK MEDICAL CENTRE
E85122,W5 3TX,07W,Q71,Y56,15297,7564,7733,THE FLORENCE ROAD SURGERY
E85123,W5 2HS,07W,Q71,Y56,5796,2992,2804,THE CORFTON ROAD SURGERY
E85124,SW6 7SX,08C,Q71,Y56,2957,1503,1454,LILLIE ROAD HEALTH CENTRE
E85125,W14 0HX,08C,Q71,Y56,4782,2266,2516,STERNDALE SURGERY
E85126,TW3 3LN,07Y,Q71,Y56,7883,4128,3755,GREEN PRACTICE
E85127,UB5 4SR,07W,Q71,Y56,9199,4587,4612,THE BARNABAS MEDICAL CTRE
E85128,SW6 2FE,08C,Q71,Y56,8040,3728,4312,SANDS END HEALTH CLINIC
E85129,UB6 9EN,07W,Q71,Y56,5591,2848,2743,THE MANSELL ROAD PRACTICE
E85130,W4 1BB,07W,Q71,Y56,3867,1840,2027,SOUTHFIELD MEDICAL CENTRE (BHATT)
E85600,TW3 2DY,07Y,Q71,Y56,4622,2351,2271,WILLOW PRACTICE
E85605,TW8 8DS,07Y,Q71,Y56,7140,3627,3513,BRENTFORD GROUP PRACTICE
E85617,W3 9BA,07W,Q71,Y56,2828,1538,1290,ACTON TOWN MEDICAL CENTRE
E85623,UB1 2TS,07W,Q71,Y56,2270,1356,914,SOMERSET MEDICAL CENTRE
E85624,W12 7FG,08C,Q71,Y56,6516,3550,2966,"DR UPPAL & PARTN, PARKVIEW CTR FOR H&W"
E85625,W4 1RX,07Y,Q71,Y56,3405,1699,1706,CHISWICK FAMILY DRS PRACTICE
E85628,W7 2JJ,07W,Q71,Y56,8498,4150,4348,ELTHORNE PARK SURGERY
E85630,W3 7TY,07W,Q71,Y56,3395,1766,1629,WESTERN AVENUE SURGERY
E85633,UB1 2PT,07W,Q71,Y56,7217,4152,3065,THE SOUTHALL MEDICAL CTR.
E85635,W3 7RG,07W,Q71,Y56,4888,2449,2439,THE VALE SURGERY
E85636,W6 0QG,08C,Q71,Y56,8766,4119,4647,PARK MEDICAL CENTRE
E85640,W3 6DL,07W,Q71,Y56,2963,1657,1306,THE CHURCHFIELD ROAD SURGERY
E85643,UB5 4LZ,07W,Q71,Y56,5345,2846,2499,MEADOW VIEW
E85649,SW6 7PP,08C,Q71,Y56,2280,1345,935,FULHAM CROSS MEDICAL CENTRE
E85656,UB1 1HS,07W,Q71,Y56,3650,2060,1590,SUNRISE MEDICAL CENTRE
E85657,W5 4RH,07W,Q71,Y56,9417,4788,4629,EALING PARK HEALTH CENTRE
E85658,W4 1NU,07Y,Q71,Y56,4275,2259,2016,HOLLY ROAD MEDICAL CENTRE
E85659,W12 7FG,08C,Q71,Y56,1718,893,825,"DR RK KUKAR, PARKVIEW CTR FOR H&W"
E85663,UB1 2AY,07W,Q71,Y56,9247,5709,3538,THE SALUJA CLINIC
E85672,SW6 7HS,08C,Q71,Y56,1482,759,723,SALISBURY SURGERY
E85673,W12 8LH,08C,Q71,Y56,3341,1664,1677,THE OLD OAK SURGERY
E85677,W3 6PH,07W,Q71,Y56,4120,2112,2008,THE HORN LANE SURGERY
E85680,W3 0DF,07W,Q71,Y56,8047,3834,4213,CLOISTER ROAD SURGERY
E85681,TW5 9ER,07Y,Q71,Y56,7855,4003,3852,JERSEY PRACTICE
E85682,UB1 2LU,07W,Q71,Y56,7083,3582,3501,DORMERS WELLS MEDICAL CENTRE
E85683,W4 2BD,07Y,Q71,Y56,4418,2094,2324,GLEBE STREET SURGERY
E85685,SW6 5RS,08C,Q71,Y56,7967,3719,4248,THE LILYVILLE SURGERY
E85686,TW7 7DJ,07Y,Q71,Y56,4580,2450,2130,ISLEWORTH CENTRE FOR HEALTH
E85687,W4 5DG,07W,Q71,Y56,1062,583,479,ACTON LANE MEDICAL CENTRE
E85692,W4 4BJ,07Y,Q71,Y56,7245,3388,3857,WELLESLEY ROAD PRACTICE
E85693,W4 3ET,07Y,Q71,Y56,7400,3613,3787,GROVE PARK SURGERY
E85694,W5 3AJ,07W,Q71,Y56,3424,1725,1699,THE BOILEAU ROAD SURGERY
E85696,TW4 7LR,07Y,Q71,Y56,9337,6229,3108,CLIFFORD ROAD SURGERY
E85697,TW14 8AG,07Y,Q71,Y56,5179,2607,2572,GREENBROOK BEDFONT
E85699,TW14 8SN,07Y,Q71,Y56,5147,2500,2647,GROVE VILLAGE MEDICAL CENTRE
E85700,TW13 4GU,07Y,Q71,Y56,2142,1098,1044,MANOR HOUSE PRACTICE
E85705,W3 6BA,07W,Q71,Y56,1166,624,542,THE BURLINGTON GARDENS SURGERY
E85707,TW5 9BJ,07Y,Q71,Y56,4503,2335,2168,SKYWAYS MEDICAL CENTRE
E85708,TW14 0AB,07Y,Q71,Y56,4523,2423,2100,GILL MEDICAL PRACTICE
E85712,UB5 6WL,07W,Q71,Y56,5604,2769,2835,GOODCARE PRACTICE
E85713,TW3 4DH,07Y,Q71,Y56,3746,2039,1707,HOUNSLOW FAMILY PRACTICE
E85714,W5 1RQ,07W,Q71,Y56,2959,1504,1455,THE PITSHANGER LANE SURGERY
E85715,UB5 6WL,07W,Q71,Y56,3965,1925,2040,BROADMEAD SURGERY
E85716,TW3 3ET,07Y,Q71,Y56,8832,4691,4141,BATH ROAD SURGERY
E85718,TW14 9PY,07Y,Q71,Y56,4812,2583,2229,HATTON MEDICAL PRACTICE
E85719,SW6 4HS,08C,Q71,Y56,10097,4689,5408,ASHVILLE SURGERY
E85721,UB1 1PZ,07W,Q71,Y56,2489,1400,1089,THE TOWN SURGERY
E85723,UB5 6BG,07W,Q71,Y56,4392,2269,2123,NORTHOLT FAMILY PRACTICE
E85724,TW3 3RN,07Y,Q71,Y56,2650,1359,1291,HIBERNIA HOUSE SURGERY
E85725,UB5 4NY,07W,Q71,Y56,6433,3360,3073,THE GROVE MEDICAL PRACTICE
E85726,W13 9NZ,07W,Q71,Y56,2821,1449,1372,MATTOCK LANE HEALTH CENTRE
E85727,TW4 7NN,07Y,Q71,Y56,3142,1654,1488,GREENBROOK CHINCHILLA
E85728,UB6 8TG,07W,Q71,Y56,1824,958,866,RIBCHESTER MEDICAL CENTRE
E85731,W7 1DR,07W,Q71,Y56,3048,1531,1517,THE FAMILY HEALTH PRACTICE
E85732,TW8 8DS,07Y,Q71,Y56,2172,1128,1044,GREENBROOK MANOR
E85733,UB1 2AX,07W,Q71,Y56,1740,978,762,THE NORTHCOTE MEDICAL CENTRE
E85734,TW13 4GU,07Y,Q71,Y56,5425,2767,2658,QUEENS PARK MEDICAL PRACTICE
E85735,TW8 8DS,07Y,Q71,Y56,2805,1476,1329,BRENTFORD FAMILY PRACTICE
E85736,TW13 5JG,07Y,Q71,Y56,6031,2901,3130,LITTLE PARK SURGERY
E85739,TW5 9ER,07Y,Q71,Y56,5526,2842,2684,GREENBROOK HESTON
E85740,W5 1JQ,07W,Q71,Y56,2055,1088,967,THE LYNWOOD SURGERY
E85743,UB1 2RX,07W,Q71,Y56,3056,1631,1425,ST.GEORGES MEDICAL CTR.
E85744,TW7 7DJ,07Y,Q71,Y56,5796,2828,2968,GREENBROOK ISLEWORTH
E85745,UB1 2TJ,07W,Q71,Y56,7571,4182,3389,JUBILEE GARDENS MEDICAL CENTRE
E85746,W4 3JL,07Y,Q71,Y56,3189,1590,1599,GROVE PARK TERRACE SURGERY
E85748,W12 0NF,08C,Q71,Y56,6548,3589,2959,"THE MEDICAL CENTRE, DR KUKAR"
E85750,TW7 4HQ,07Y,Q71,Y56,7980,4186,3794,SPRING GROVE MEDICAL PRACTICE
E85755,UB2 5TH,07Y,Q71,Y56,1457,821,636,NORTH HYDE MEDICAL PRACTICE
E86001,HA6 2RG,08G,Q71,Y56,10913,5349,5564,MOUNTWOOD SURGERY
E86003,UB3 2PB,08G,Q71,Y56,3881,1948,1933,KINGSWAY SURGERY
E86004,UB7 7PJ,08G,Q71,Y56,9846,4982,4864,WEST DRAYTON MEDICAL CENTRE
E86005,UB10 9JX,08G,Q71,Y56,6511,3203,3308,THE OAKLAND MEDICAL CENTRE
E86006,HA5 1TG,08G,Q71,Y56,7552,3674,3878,THE DEVONSHIRE LODGE PRACTICE
E86007,UB9 6JY,08G,Q71,Y56,9470,4732,4738,HAREFIELD PRACTICE
E86009,UB8 1SD,08G,Q71,Y56,7000,3452,3548,BELMONT MEDICAL CENTRE
E86010,UB7 7DP,08G,Q71,Y56,10525,5380,5145,YIEWSLEY FAMILY PRACTICE
E86011,HA4 9EY,08G,Q71,Y56,6012,2930,3082,OXFORD DRIVE MEDICAL CENTRE
E86012,HA4 6ER,08G,Q71,Y56,11597,5761,5836,WOOD LANE MEDICAL CENTRE
E86014,HA4 9LZ,08G,Q71,Y56,4637,2293,2344,CEDARS MEDICAL CENTRE
E86015,UB8 1UB,08G,Q71,Y56,15851,7913,7938,UXBRIDGE HEALTH CENTRE
E86016,UB4 8RB,08G,Q71,Y56,5664,2933,2731,THE PINE MEDICAL CENTRE
E86017,UB3 4NA,08G,Q71,Y56,9401,4994,4407,HAYES MEDICAL CENTRE
E86018,UB3 3DZ,08G,Q71,Y56,9119,4695,4424,TOWNFIELD DOCTORS SURGERY
E86019,UB4 0SF,08G,Q71,Y56,7159,3559,3600,THE WARREN PRACTICE
E86020,UB4 9AJ,08G,Q71,Y56,4757,2490,2267,DR K ANANTHA-REDDY'S PRACTICE
E86022,HA5 1TG,08G,Q71,Y56,6741,3336,3405,THE ABBOTSBURY PRACTICE
E86024,HA4 7AE,08G,Q71,Y56,5623,2809,2814,KING EDWARDS MEDICAL CENTRE
E86026,UB8 3LA,08G,Q71,Y56,5915,3017,2898,PARKVIEW SURGERY
E86027,UB7 8PE,08G,Q71,Y56,6757,3410,3347,OTTERFIELD MEDICAL CENTRE
E86028,HA6 3BG,08G,Q71,Y56,7352,3563,3789,EASTBURY SURGERY
E86029,UB4 8DD,08G,Q71,Y56,10040,4941,5099,CEDAR BROOK PRACTICE
E86030,UB8 3PH,08G,Q71,Y56,11440,6633,4807,BRUNEL MEDICAL CENTRE
E86033,HA4 8BE,08G,Q71,Y56,5657,2854,2803,ST MARTINS MEDICAL CENTRE
E86034,UB8 3NA,08G,Q71,Y56,2121,1093,1028,CHURCH ROAD SURGERY
E86036,UB10 9QF,08G,Q71,Y56,7307,3582,3725,HILLINGDON HEALTH CENTRE
E86038,UB3 5DA,08G,Q71,Y56,6167,3326,2841,GLENDALE HOUSE SURGERY
E86041,HA6 1TQ,08G,Q71,Y56,4368,2190,2178,ACRE SURGERY
E86042,UB7 7DP,08G,Q71,Y56,6611,3288,3323,YIEWSLEY HEALTH CENTRE
E86605,HA4 7QU,08G,Q71,Y56,2122,1079,1043,LADYGATE LANE MEDICAL PRACTICE
E86609,UB3 4NS,08G,Q71,Y56,3196,1736,1460,NORTH HYDE ROAD SURGERY
E86610,UB4 9NS,08G,Q71,Y56,3519,1714,1805,WILLOW TREE SURGERY
E86612,UB4 0BE,08G,Q71,Y56,4588,2480,2108,SHAKESPEARE SURGERY
E86615,HA4 0QR,08G,Q71,Y56,2223,1195,1028,ACREFIELD SURGERY
E86618,HA6 1TQ,08G,Q71,Y56,5108,2701,2407,CAREPOINT PRACTICE
E86619,UB10 8SA,08G,Q71,Y56,2321,1131,1190,WALLASEY MEDICAL CENTRE
E86620,UB8 3NG,08G,Q71,Y56,4252,2139,2113,WEST LONDON MEDICAL CENTRE
E86622,UB3 4JE,08G,Q71,Y56,2910,1550,1360,DR PR KANTHAN'S PRACTICE
E86625,UB3 3HG,08G,Q71,Y56,3241,1689,1552,KINCORA DOCTORS SURGERY
E86626,HA4 0NT,08G,Q71,Y56,6439,3279,3160,QUEENS WALK MEDICAL CENTRE
E86629,HA4 6TA,08G,Q71,Y56,3388,1749,1639,DR MLR SIDDIQUI'S PRACTICE
E86632,UB10 9JN,08G,Q71,Y56,6066,3158,2908,ACORN MEDICAL CENTRE
E86635,HA6 1TQ,08G,Q71,Y56,2631,1215,1416,THE EVERGREEN PRACTICE
E86637,UB3 5AB,08G,Q71,Y56,3631,1897,1734,HEATHROW MEDICAL CENTRE
E86640,HA4 7LW,08G,Q71,Y56,3064,1455,1609,SOUTHCOTE CLINIC
E87002,SW1V 1SN,09A,Q71,Y56,13206,6462,6744,VICTORIA MEDICAL CENTRE
E87003,W10 6NX,08Y,Q71,Y56,4673,2357,2316,NORTH KENSINGTON MEDICAL CENTRE
E87004,SW10 9DT,08Y,Q71,Y56,10135,5137,4998,THE REDCLIFFE SURGERY
E87005,SW1W 9PY,09A,Q71,Y56,6604,3248,3356,BELGRAVIA SURGERY
E87006,W2 1ND,09A,Q71,Y56,4639,2351,2288,LITTLE VENICE MEDICAL CENTRE
